@relation 'Laptop_price-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddValues-C1-L0,1,2,3,4-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<0.25,1,ifelse(A<0.5,2,3))-V-R2-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<0.25,1,ifelse(A<0.5,2,3))-V-R5-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<0.25,1,ifelse(A<0.5,2,3))-V-R6-unset-class-temporarily-weka.filters.unsupervised.attribute.AddValues-C8-L0,1-weka.filters.unsupervised.attribute.AddValues-C9-L0,1'

@attribute Brand {Asus,Acer,Lenovo,HP,Dell,0,1,2,3,4}
@attribute Processor_Speed numeric
@attribute RAM_Size numeric
@attribute Storage_Capacity numeric
@attribute Screen_Size numeric
@attribute Weight numeric
@attribute Price numeric
@attribute Outlier {no,yes,0,1}
@attribute ExtremeValue {no,yes,0,1}

@data
2,1,0.142857,0,3,3,0.016186,0,0
1,2,0.428571,0,1,3,0.053841,0,0
2,1,1,1,3,3,0.971834,0,0
1,1,1,0,3,3,0.064337,0,0
4,2,1,0,3,2,0.0704,0,0
3,2,0,0,3,3,0.026114,0,0
0,3,0.428571,0,2,3,0.066727,0,0
4,2,1,0,3,1,0.070719,0,0
0,3,1,0,3,1,0.088695,0,0
3,3,1,0.344086,1,2,0.384909,0,0
3,1,0,1,2,3,0.914874,0,0
4,3,0,0.344086,3,3,0.343075,0,0
3,1,0.142857,0,3,3,0.02848,0,0
1,3,0.428571,0,3,2,0.045363,0,0
3,1,0.142857,1,3,2,0.926596,0,0
0,2,0.428571,0.344086,1,1,0.357891,0,0
0,1,0,1,1,1,0.91318,0,0
0,3,1,0.344086,1,3,0.398059,0,0
0,3,0.142857,0,1,3,0.022867,0,0
1,3,1,1,2,2,0.985847,0,0
2,1,0.142857,1,1,3,0.924124,0,0
4,3,0,0,2,1,0.02053,0,0
0,1,0,1,3,3,0.925675,0,0
3,3,0,0.344086,2,2,0.341168,0,0
0,1,0.142857,0.344086,3,2,0.337437,0,0
3,1,0.428571,0.344086,3,2,0.349458,0,0
3,1,0.142857,0.344086,1,1,0.329617,0,0
0,2,0.428571,0,2,1,0.058537,0,0
1,3,0.142857,1,1,3,0.934857,0,0
3,1,0.142857,0.344086,2,3,0.338453,0,0
3,3,0,0,3,3,0.031774,0,0
0,2,1,1,1,1,0.980146,0,0
3,3,1,1,1,3,0.967902,0,0
3,2,0.428571,0,2,1,0.051723,0,0
0,2,1,0,3,1,0.080058,0,0
0,3,0.142857,0.344086,3,3,0.326156,0,0
4,1,0.142857,1,3,3,0.908896,0,0
1,1,0,1,1,1,0.906389,0,0
1,3,0,0,3,1,0.03676,0,0
3,3,1,1,3,3,0.979997,0,0
1,2,0.428571,0.344086,3,1,0.350111,0,0
3,2,1,1,3,2,0.97953,0,0
4,3,1,0,2,3,0.078001,0,0
0,2,1,0,3,1,0.091841,0,0
0,1,1,0.344086,3,1,0.390649,0,0
0,1,0.142857,0.344086,1,2,0.331406,0,0
1,3,0.428571,1,2,3,0.953313,0,0
4,3,0.142857,1,3,3,0.937876,0,0
1,1,0.428571,0,1,3,0.034798,0,0
1,1,0,0.344086,3,3,0.33326,0,0
4,1,1,0.344086,3,3,0.393109,0,0
4,3,0.142857,0.344086,3,2,0.336452,0,0
4,1,0.428571,1,1,2,0.933665,0,0
4,1,0,0.344086,3,3,0.325735,0,0
0,3,0,0,1,3,0.035471,0,0
2,1,1,0,3,3,0.0705,0,0
2,3,0.428571,1,1,3,0.939537,0,0
4,1,0.142857,1,3,1,0.924637,0,0
2,1,1,0.344086,3,2,0.390035,0,0
2,1,0.142857,1,3,2,0.914102,0,0
4,3,0,0,3,1,0.021576,0,0
2,3,0.142857,0.344086,3,1,0.343977,0,0
1,3,0.142857,0,3,3,0.036948,0,0
3,2,1,0.344086,1,3,0.37046,0,0
3,3,0.142857,1,3,2,0.943594,0,0
4,1,1,0.344086,1,2,0.379922,0,0
0,2,0,0.344086,3,2,0.32794,0,0
4,3,1,0,1,1,0.099665,0,0
0,1,1,0,2,3,0.075886,0,0
3,1,0.428571,0.344086,3,3,0.344339,0,0
4,1,0.142857,1,2,3,0.922361,0,0
1,1,0,1,1,3,0.907514,0,0
2,1,1,0,3,3,0.085884,0,0
0,3,0,1,3,1,0.920962,0,0
2,2,0.428571,0,3,2,0.036421,0,0
2,3,0.142857,1,2,1,0.920147,0,0
4,3,1,0.344086,3,3,0.406373,0,0
2,2,0.142857,0,2,1,0.022989,0,0
1,2,0.428571,0,3,1,0.050126,0,0
2,2,0.428571,0.344086,3,3,0.354438,0,0
4,3,0,0,3,3,0.022322,0,0
1,2,1,1,1,3,0.967317,0,0
3,3,0,1,1,1,0.932818,0,0
2,2,0.428571,0,1,1,0.033927,0,0
4,3,0.142857,1,1,2,0.923698,0,0
3,2,0,0,2,1,0.030439,0,0
3,2,0,0.344086,3,1,0.318984,0,0
0,3,0.142857,0,1,2,0.050506,0,0
1,3,0,0.344086,3,3,0.346301,0,0
2,1,0.142857,1,1,2,0.920252,0,0
4,3,1,0.344086,3,3,0.392896,0,0
0,2,0.142857,1,3,3,0.916296,0,0
1,3,1,0,2,2,0.093686,0,0
0,3,0.142857,1,1,3,0.953167,0,0
1,2,0.428571,0,3,1,0.048957,0,0
1,1,0.428571,0,2,1,0.024008,0,0
2,2,1,0.344086,3,3,0.389315,0,0
1,3,1,0.344086,3,1,0.396829,0,0
0,3,0.428571,0.344086,3,3,0.353174,0,0
1,2,1,0.344086,1,1,0.377429,0,0
2,1,0.142857,1,3,3,0.915197,0,0
2,3,0.142857,1,3,2,0.930576,0,0
0,3,0.428571,1,3,1,0.953428,0,0
3,3,0,0,1,1,0.017068,0,0
3,1,0.142857,1,3,3,0.911601,0,0
1,2,1,1,2,3,0.972032,0,0
4,1,0,1,3,3,0.909064,0,0
1,3,0,0.344086,2,2,0.336275,0,0
0,1,0.142857,1,3,3,0.921996,0,0
0,3,0.142857,0,1,3,0.019417,0,0
0,2,0,0.344086,3,3,0.331067,0,0
0,3,0,0,3,2,0.023764,0,0
0,3,0.428571,1,3,3,0.949817,0,0
2,3,1,0.344086,3,3,0.397938,0,0
3,1,0.428571,0,2,2,0.05134,0,0
0,1,0.142857,1,3,3,0.920491,0,0
4,1,0.428571,0,1,3,0.048188,0,0
4,3,0.428571,0,3,1,0.054394,0,0
4,3,0.428571,0,3,1,0.055019,0,0
4,3,0.428571,1,3,2,0.945849,0,0
2,3,1,1,1,3,0.982322,0,0
4,3,1,0,3,3,0.089115,0,0
0,1,0,0.344086,3,1,0.328832,0,0
1,3,0.142857,0.344086,1,3,0.336234,0,0
4,2,0.428571,1,3,3,0.948326,0,0
2,2,0,1,1,1,0.908333,0,0
2,3,0,1,2,3,0.911346,0,0
4,1,0,1,1,3,0.898291,0,0
1,1,1,1,1,3,0.965911,0,0
4,3,0.428571,0.344086,3,3,0.37247,0,0
2,1,0.428571,1,2,3,0.92609,0,0
3,3,0.142857,0,2,3,0.047329,0,0
0,1,0.428571,0,1,2,0.04938,0,0
2,2,0.428571,0.344086,3,3,0.342435,0,0
4,2,0,0,3,3,0.017274,0,0
0,2,0.142857,0.344086,2,3,0.328348,0,0
4,3,0.428571,0.344086,2,2,0.36556,0,0
4,2,1,0,3,3,0.069962,0,0
3,3,0.428571,1,2,1,0.931763,0,0
0,2,0,0,2,3,0.020629,0,0
0,3,1,0,2,2,0.092241,0,0
3,3,0,0.344086,3,1,0.341321,0,0
2,3,0.428571,0,2,2,0.055763,0,0
4,1,1,0.344086,3,1,0.386833,0,0
1,1,0.142857,1,2,3,0.90451,0,0
4,2,0.142857,1,3,3,0.917332,0,0
4,3,1,1,2,3,0.976127,0,0
2,1,1,0,3,1,0.068697,0,0
4,2,0,0.344086,2,1,0.345977,0,0
3,3,1,1,1,3,0.965876,0,0
3,2,0,0.344086,3,3,0.322592,0,0
0,3,0.428571,0.344086,2,2,0.363351,0,0
1,1,0,1,3,3,0.908263,0,0
4,1,1,1,3,2,0.946079,0,0
4,3,1,0.344086,3,3,0.409778,0,0
2,2,0.428571,1,1,3,0.932373,0,0
3,3,1,0.344086,3,2,0.398341,0,0
1,2,1,0.344086,2,2,0.376881,0,0
0,1,0.142857,1,3,3,0.916771,0,0
3,3,0.142857,0,3,1,0.026915,0,0
0,3,0.428571,1,3,2,0.945371,0,0
2,3,0,0,2,3,0.022932,0,0
2,2,0.142857,0.344086,3,1,0.335258,0,0
4,3,0,0.344086,1,1,0.329878,0,0
1,2,1,0,3,3,0.067049,0,0
0,1,0.142857,0.344086,2,3,0.327044,0,0
3,3,0.428571,0,3,3,0.067913,0,0
2,1,0.428571,0,3,3,0.052592,0,0
4,3,0.428571,0.344086,3,3,0.369437,0,0
4,2,0.142857,0,1,3,0.034707,0,0
0,1,0,1,3,2,0.93022,0,0
2,3,1,1,2,3,0.980356,0,0
1,3,0,0.344086,2,3,0.344189,0,0
2,3,0,0.344086,1,1,0.322445,0,0
0,3,1,0,1,2,0.076372,0,0
0,3,1,0,2,2,0.082304,0,0
2,3,0.142857,0,3,1,0.031124,0,0
0,3,0.142857,0,1,1,0.029435,0,0
2,1,0.142857,1,2,3,0.914517,0,0
3,2,0.142857,1,3,3,0.917287,0,0
2,1,0.142857,0.344086,1,2,0.326607,0,0
2,3,1,0,3,1,0.093489,0,0
0,3,0,0,3,1,0.049478,0,0
0,1,0.142857,0.344086,3,3,0.339115,0,0
4,3,0.142857,0,3,2,0.042741,0,0
4,3,0,0,3,2,0.021046,0,0
3,1,0.142857,0,3,2,0.028436,0,0
4,3,0,0,2,2,0.025049,0,0
2,3,0,0,3,2,0.036413,0,0
0,1,1,0.344086,1,3,0.373387,0,0
4,3,0.428571,0,3,3,0.06755,0,0
4,2,1,0.344086,2,3,0.384279,0,0
3,3,0.428571,0,3,2,0.058462,0,0
3,3,0.428571,1,2,3,0.935732,0,0
2,3,0.428571,1,3,3,0.952513,0,0
0,2,0.142857,1,1,1,0.934572,0,0
3,3,1,1,3,3,0.989,0,0
4,3,0.428571,0.344086,3,2,0.347832,0,0
0,2,0,0.344086,1,3,0.323311,0,0
0,3,0.142857,0,3,2,0.05435,0,0
4,1,1,1,3,3,0.965868,0,0
3,3,0.428571,0.344086,3,1,0.361985,0,0
4,1,0,0,2,3,0.03089,0,0
0,1,1,0,2,3,0.070254,0,0
1,1,1,0.344086,1,3,0.384675,0,0
1,3,0.142857,1,2,2,0.934046,0,0
2,2,1,0,3,2,0.084167,0,0
4,3,0.142857,1,1,3,0.93261,0,0
4,1,0.428571,1,3,1,0.932289,0,0
2,2,0.142857,1,2,1,0.919757,0,0
2,3,0,0,3,3,0.018243,0,0
2,3,0.142857,1,3,3,0.921517,0,0
0,2,0,0,3,2,0.032724,0,0
4,3,0.142857,1,2,2,0.929552,0,0
0,3,1,0,2,2,0.097814,0,0
2,3,0.428571,1,2,3,0.957635,0,0
4,1,0,0.344086,1,3,0.324826,0,0
0,1,0.142857,1,2,3,0.905996,0,0
0,3,0.142857,1,2,3,0.93253,0,0
2,1,0.142857,0,2,2,0.016905,0,0
4,3,1,0,3,1,0.073632,0,0
2,3,1,1,2,1,0.972123,0,0
4,3,0,0.344086,2,2,0.340703,0,0
1,3,0,0.344086,2,3,0.33225,0,0
3,3,1,0,3,3,0.085339,0,0
3,2,0,0.344086,3,2,0.321058,0,0
3,3,0.428571,1,3,2,0.950697,0,0
2,2,0.428571,0,3,3,0.062629,0,0
1,2,1,1,2,3,0.984269,0,0
4,3,0,0,3,1,0.032679,0,0
0,3,0.142857,0,2,3,0.043877,0,0
4,3,0.428571,0,2,3,0.056504,0,0
0,3,1,0,3,1,0.072874,0,0
4,2,0,0.344086,3,3,0.329029,0,0
1,2,1,1,1,1,0.964916,0,0
0,3,0.142857,1,3,3,0.933613,0,0
2,1,0.428571,1,3,3,0.947945,0,0
4,1,1,0,1,3,0.086352,0,0
4,2,1,0.344086,1,3,0.384317,0,0
0,2,1,1,2,2,0.957225,0,0
2,2,0.142857,0.344086,1,3,0.334583,0,0
2,1,1,0,1,3,0.074522,0,0
1,1,0.142857,1,2,3,0.922316,0,0
2,1,0.142857,0.344086,2,3,0.329176,0,0
2,3,0.142857,0,3,3,0.043227,0,0
2,2,0.428571,0.344086,3,3,0.349768,0,0
3,2,0.428571,1,3,2,0.941249,0,0
1,3,1,1,2,3,0.982326,0,0
4,1,1,0,3,3,0.059719,0,0
0,3,0.428571,0,3,3,0.056075,0,0
4,3,0,0,3,3,0.036173,0,0
1,1,0.428571,0.344086,2,2,0.361076,0,0
0,2,0.142857,0.344086,3,2,0.336828,0,0
1,3,0.428571,0.344086,1,3,0.371965,0,0
2,3,0.142857,0,2,3,0.05358,0,0
0,2,1,1,3,2,0.972277,0,0
2,3,0,1,3,3,0.917493,0,0
4,1,1,0.344086,1,2,0.378175,0,0
4,3,0.142857,0.344086,3,3,0.351253,0,0
0,1,0.142857,1,3,2,0.931806,0,0
0,3,0.142857,1,2,1,0.930611,0,0
1,3,0,0.344086,3,1,0.350102,0,0
1,3,0.428571,0.344086,2,1,0.352314,0,0
2,3,1,1,3,3,0.968003,0,0
0,1,1,0,3,1,0.079745,0,0
4,1,0.428571,0.344086,1,1,0.358333,0,0
1,1,1,1,3,3,0.97215,0,0
1,1,0,1,3,3,0.917044,0,0
4,3,1,1,3,2,0.998232,0,0
1,2,0.142857,1,3,3,0.936017,0,0
2,1,0.428571,0,3,1,0.041641,0,0
0,3,0,1,3,3,0.925777,0,0
4,3,0.428571,0.344086,3,3,0.374401,0,0
0,3,0,0,3,2,0.040378,0,0
1,3,0.142857,1,2,2,0.940415,0,0
1,1,0.428571,0,3,2,0.041074,0,0
4,2,1,0.344086,1,2,0.384497,0,0
2,3,0,1,3,3,0.92418,0,0
3,3,0.428571,0.344086,3,1,0.360058,0,0
4,1,1,1,3,1,0.965293,0,0
3,3,0.428571,1,3,1,0.953288,0,0
3,1,0.428571,1,3,2,0.934285,0,0
2,1,0.428571,1,2,3,0.939179,0,0
3,3,0,1,3,1,0.905596,0,0
3,3,1,0,1,3,0.075594,0,0
2,3,0.142857,1,1,2,0.936317,0,0
3,1,0,1,2,1,0.903389,0,0
3,3,0,0,3,3,0.036523,0,0
3,2,0,0,3,1,0.013614,0,0
4,1,0.142857,0,3,3,0.032477,0,0
4,3,1,0,2,3,0.085127,0,0
4,3,1,0,2,1,0.087117,0,0
2,3,1,0,1,1,0.086319,0,0
1,3,0.428571,1,2,2,0.938654,0,0
3,3,0.428571,1,3,1,0.955598,0,0
3,3,0.428571,0.344086,1,1,0.365946,0,0
2,1,0.142857,1,2,2,0.915522,0,0
3,2,0.428571,1,1,2,0.944703,0,0
4,2,0.142857,0,1,3,0.033739,0,0
1,2,1,0,2,3,0.074548,0,0
0,3,0.428571,1,1,3,0.937441,0,0
3,2,0.428571,0.344086,3,1,0.370638,0,0
4,1,0,0,3,1,0.014783,0,0
0,1,0.142857,1,3,3,0.916717,0,0
1,3,1,1,3,3,0.994646,0,0
0,1,0,0.344086,2,3,0.327988,0,0
4,3,0,0.344086,3,2,0.341604,0,0
0,2,1,0,3,3,0.074745,0,0
2,2,0,0.344086,1,3,0.337007,0,0
0,3,0.142857,1,3,2,0.954885,0,0
3,3,0.142857,1,1,2,0.93886,0,0
3,2,0.428571,0.344086,2,3,0.357008,0,0
2,3,0,0.344086,1,1,0.339922,0,0
4,3,0.428571,0.344086,3,2,0.356353,0,0
3,2,0,0.344086,3,3,0.325069,0,0
1,3,0.142857,0,3,3,0.037561,0,0
3,3,0.142857,0.344086,2,2,0.341216,0,0
3,3,0.142857,0,2,2,0.032239,0,0
4,3,0,1,1,1,0.921774,0,0
0,3,0.142857,0.344086,2,3,0.344765,0,0
3,3,0,0,3,2,0.028534,0,0
2,3,0.428571,0.344086,2,3,0.363881,0,0
0,3,0,1,3,2,0.925826,0,0
1,3,0.428571,1,3,2,0.950223,0,0
4,3,0,1,2,3,0.933284,0,0
1,3,0.428571,0.344086,3,3,0.362297,0,0
0,1,0.142857,0.344086,1,2,0.349276,0,0
0,3,0.428571,0,1,2,0.056979,0,0
0,3,0.142857,1,1,3,0.928551,0,0
1,1,0.142857,0.344086,3,1,0.342663,0,0
0,3,0.428571,1,2,3,0.948558,0,0
1,1,0,1,3,1,0.89344,0,0
0,2,0,0,3,3,0.020683,0,0
2,3,1,0,2,3,0.082434,0,0
0,1,0,0,3,2,0.031392,0,0
1,3,1,0,3,3,0.080383,0,0
3,3,0,1,1,1,0.921672,0,0
0,3,0,0,1,1,0.033501,0,0
3,1,0.142857,0,3,3,0.026496,0,0
2,2,1,0,2,2,0.074399,0,0
4,3,0,0,3,3,0.02119,0,0
2,3,1,1,2,1,0.987885,0,0
0,3,0.142857,0,2,1,0.034629,0,0
3,2,0.142857,1,1,1,0.915281,0,0
3,3,1,0.344086,2,1,0.384582,0,0
1,3,0.142857,1,3,2,0.922276,0,0
3,3,0.428571,1,2,3,0.940518,0,0
1,1,0.428571,0,3,3,0.04877,0,0
4,3,0.142857,0.344086,3,3,0.353239,0,0
0,3,0.428571,0.344086,3,1,0.365239,0,0
1,3,0,0.344086,3,2,0.342912,0,0
4,2,1,0.344086,2,1,0.382741,0,0
3,3,0,1,2,2,0.920163,0,0
3,3,1,0.344086,3,3,0.4063,0,0
4,1,0.142857,1,2,1,0.904852,0,0
3,3,0,1,3,1,0.924836,0,0
4,3,0.142857,1,1,3,0.922063,0,0
1,1,0.142857,0.344086,3,2,0.343062,0,0
1,2,1,0,3,2,0.074397,0,0
4,3,1,0,3,1,0.073822,0,0
1,1,1,0.344086,3,1,0.382926,0,0
1,3,0,0,3,3,0.023685,0,0
1,2,0.428571,0,3,1,0.041452,0,0
2,3,1,1,3,2,0.973218,0,0
0,1,1,1,1,1,0.959679,0,0
3,3,0,0.344086,2,2,0.345168,0,0
2,3,1,0.344086,2,1,0.400055,0,0
1,3,0,0,3,3,0.0339,0,0
4,3,0.142857,1,2,3,0.922925,0,0
1,1,1,0.344086,3,3,0.379545,0,0
0,3,1,0.344086,3,2,0.396116,0,0
1,1,0.142857,0.344086,3,3,0.333413,0,0
4,1,0.142857,0.344086,3,3,0.33315,0,0
0,2,0.142857,0.344086,1,2,0.32819,0,0
1,2,1,0.344086,3,3,0.368909,0,0
0,3,0.428571,0,3,1,0.07034,0,0
3,3,0.428571,1,2,1,0.936916,0,0
3,2,0.428571,1,2,3,0.925289,0,0
1,2,1,0.344086,3,1,0.385986,0,0
0,3,0.142857,1,3,3,0.925156,0,0
4,2,1,1,1,2,0.965678,0,0
1,2,0.142857,1,3,3,0.931784,0,0
3,1,1,0.344086,3,3,0.396904,0,0
3,3,1,0.344086,2,3,0.3968,0,0
1,3,0.142857,1,3,2,0.930414,0,0
0,1,0.428571,1,3,1,0.939229,0,0
3,1,0.142857,0.344086,3,2,0.318765,0,0
0,3,0,0,3,1,0.026053,0,0
3,3,0,1,1,1,0.917809,0,0
3,2,0.142857,0,1,3,0.027543,0,0
2,3,1,1,2,3,1,0,0
3,1,0,0,2,3,0,0,0
4,2,0,0,2,1,0.019587,0,0
1,3,1,0,3,2,0.076762,0,0
1,2,1,0.344086,3,1,0.384805,0,0
0,3,0.428571,0,3,3,0.044293,0,0
3,2,1,0,3,3,0.067761,0,0
4,2,0.142857,0,3,3,0.036059,0,0
0,3,0.142857,1,2,3,0.93838,0,0
2,2,0.428571,0,1,3,0.051424,0,0
0,3,0,1,3,2,0.923195,0,0
0,1,0,0,3,2,0.019622,0,0
3,1,1,0,2,3,0.087037,0,0
2,1,0.142857,0.344086,3,2,0.331733,0,0
0,3,0,1,1,2,0.927058,0,0
4,2,0.428571,0,3,3,0.041406,0,0
4,3,0.428571,1,3,3,0.957466,0,0
1,2,0.142857,1,3,3,0.923149,0,0
2,3,0.428571,0.344086,3,3,0.352458,0,0
2,1,0.428571,0.344086,3,3,0.351329,0,0
1,3,0.142857,0.344086,3,1,0.34626,0,0
0,3,1,0.344086,3,1,0.383557,0,0
2,3,1,0.344086,3,3,0.396616,0,0
4,3,0.428571,0.344086,3,3,0.356652,0,0
4,3,1,0.344086,1,1,0.416633,0,0
3,3,1,0.344086,2,3,0.378531,0,0
2,1,0.428571,0,3,1,0.032038,0,0
0,1,1,1,2,2,0.972493,0,0
1,3,0.428571,0.344086,2,3,0.362631,0,0
1,3,0,0.344086,3,1,0.344045,0,0
0,3,0.142857,1,3,1,0.938869,0,0
3,2,0.142857,0,3,2,0.029127,0,0
1,1,1,1,2,3,0.95607,0,0
2,1,1,1,1,2,0.974417,0,0
3,3,1,0.344086,1,3,0.379608,0,0
2,2,0.142857,1,2,3,0.929537,0,0
4,1,0,1,1,1,0.91904,0,0
3,2,0,0.344086,1,3,0.32818,0,0
1,1,0.142857,0.344086,3,1,0.331677,0,0
3,3,0,0.344086,3,3,0.32646,0,0
3,2,0.142857,0.344086,2,3,0.338399,0,0
3,3,0,1,1,3,0.898639,0,0
3,2,0.428571,1,3,1,0.945951,0,0
2,2,0.428571,0,1,2,0.046018,0,0
4,1,0.142857,0,3,1,0.023212,0,0
0,1,0,1,2,1,0.91293,0,0
3,2,1,0,2,3,0.066627,0,0
1,2,0,1,2,1,0.899497,0,0
3,3,0.428571,0,1,3,0.051913,0,0
1,2,0.428571,0.344086,3,1,0.363856,0,0
2,3,0,0,3,2,0.015545,0,0
1,3,0,0.344086,3,3,0.331566,0,0
0,3,1,0.344086,1,2,0.398408,0,0
4,1,1,0.344086,3,3,0.382299,0,0
1,2,0,0.344086,3,3,0.355812,0,0
1,1,0,0,3,3,0.026329,0,0
4,1,0,1,2,2,0.920587,0,0
0,3,0,0.344086,2,3,0.335066,0,0
3,1,0.142857,0,3,3,0.02934,0,0
1,2,0,0.344086,3,3,0.344614,0,0
4,3,1,0,2,2,0.081327,0,0
2,3,0.428571,0,2,3,0.051016,0,0
4,3,0.142857,0,2,3,0.034298,0,0
2,1,0,1,3,3,0.905872,0,0
0,2,0.428571,0,2,1,0.047399,0,0
3,3,0.142857,0,3,1,0.037081,0,0
4,1,0.428571,1,3,3,0.946746,0,0
1,2,0,1,3,2,0.917351,0,0
0,1,0,0,3,3,0.021638,0,0
4,1,1,1,2,2,0.965339,0,0
1,2,0,0.344086,3,3,0.337066,0,0
4,1,0,0.344086,1,1,0.32155,0,0
2,3,0.142857,1,3,1,0.935834,0,0
4,3,1,1,3,3,0.985302,0,0
4,3,0.142857,0,1,3,0.027143,0,0
4,1,0.428571,1,3,3,0.946834,0,0
0,1,0,0,3,2,0.018591,0,0
4,1,0.428571,0.344086,1,3,0.342361,0,0
1,3,0.142857,1,3,3,0.924612,0,0
2,3,0,0,3,3,0.031906,0,0
2,1,0,0,3,1,0.016857,0,0
4,3,0.142857,0.344086,2,3,0.351446,0,0
0,1,0.142857,1,1,3,0.919849,0,0
0,3,0.142857,0.344086,1,3,0.343212,0,0
1,3,0.142857,0,3,1,0.059718,0,0
4,3,0.142857,0,2,3,0.039539,0,0
2,3,0,1,3,3,0.919904,0,0
0,3,0.142857,0,1,2,0.020099,0,0
4,2,0,1,3,1,0.907963,0,0
0,3,0,0.344086,1,2,0.346323,0,0
0,1,0.142857,1,1,2,0.923399,0,0
2,3,0.142857,1,2,2,0.924553,0,0
3,3,1,0,2,3,0.100637,0,0
1,3,0,0,3,3,0.0339,0,0
1,2,0.142857,1,3,3,0.932054,0,0
2,3,0.142857,0,3,3,0.053307,0,0
0,3,0.142857,0,3,2,0.04913,0,0
4,3,1,0,3,1,0.093467,0,0
0,1,1,1,3,3,0.974059,0,0
2,1,0.428571,0,3,1,0.048882,0,0
1,1,0,1,3,2,0.913334,0,0
0,1,0.428571,0,1,1,0.042104,0,0
1,3,0.142857,0.344086,3,1,0.354037,0,0
4,1,1,0,1,3,0.071421,0,0
1,3,1,0,3,2,0.082959,0,0
1,2,0.428571,1,3,2,0.939096,0,0
3,1,1,1,1,1,0.959742,0,0
3,3,0.142857,0,1,3,0.037075,0,0
3,3,1,0.344086,3,2,0.379532,0,0
1,2,0.428571,0,3,3,0.051292,0,0
2,3,0.142857,0,1,2,0.019195,0,0
1,3,0.428571,0.344086,3,1,0.358784,0,0
2,1,1,1,3,3,0.974626,0,0
2,3,0.428571,0,3,1,0.065078,0,0
3,3,0.428571,1,3,2,0.960771,0,0
0,3,0,1,3,2,0.926111,0,0
4,1,1,0.344086,2,3,0.372328,0,0
3,3,1,0.344086,3,1,0.401878,0,0
3,1,0.428571,1,3,3,0.927738,0,0
0,1,0,0,1,1,0.02221,0,0
4,2,1,1,1,2,0.97453,0,0
1,2,0.142857,0,1,2,0.041171,0,0
1,3,0.428571,0,3,3,0.056341,0,0
